id,年,月,日,時,気温,降水量,日照時間
138,2018,1,6,19,4.7,0.0,0.0
139,2018,1,6,20,6.6,0.0,0.0
140,2018,1,6,21,6.2,0.0,0.0
141,2018,1,6,22,5.2,0.0,0.0
142,2018,1,6,23,4.6,0.0,0.0
143,2018,1,6,24,4.3,0.0,0.0
144,2018,1,7,1,4.9,0.0,0.0
145,2018,1,7,2,4.6,0.0,0.0
146,2018,1,7,3,3.5,0.0,0.0
147,2018,1,7,4,2.3,0.0,0.0
148,2018,1,7,5,2.0,0.0,0.0
149,2018,1,7,6,2.7,0.0,0.0
150,2018,1,7,7,3.6,0.0,0.0
151,2018,1,7,8,4.1,0.0,0.4
152,2018,1,7,9,6.7,0.0,1.0
153,2018,1,7,10,8.3,0.0,1.0
154,2018,1,7,11,9.7,0.0,1.0
155,2018,1,7,12,10.2,0.0,1.0
156,2018,1,7,13,11.2,0.0,1.0
157,2018,1,7,14,11.1,0.0,1.0
158,2018,1,7,15,10.4,0.0,1.0
159,2018,1,7,16,9.3,0.0,1.0
160,2018,1,7,17,6.5,0.0,0.1
161,2018,1,7,18,6.5,0.0,0.0
162,2018,1,7,19,6.4,0.0,0.0
163,2018,1,7,20,5.7,0.0,0.0
164,2018,1,7,21,6.3,0.0,0.0
165,2018,1,7,22,5.3,0.0,0.0
166,2018,1,7,23,4.6,0.0,0.0
167,2018,1,7,24,4.5,0.0,0.0
168,2018,1,8,1,4.6,0.0,0.0
169,2018,1,8,2,4.7,0.0,0.0
170,2018,1,8,3,4.2,0.0,0.0
171,2018,1,8,4,3.7,0.0,0.0
172,2018,1,8,5,4.2,0.0,0.0
173,2018,1,8,6,3.7,0.0,0.0
174,2018,1,8,7,3.5,0.0,0.0
175,2018,1,8,8,4.2,0.0,0.0
176,2018,1,8,9,5.0,0.0,0.0
177,2018,1,8,10,5.2,0.0,0.0
178,2018,1,8,11,6.0,0.0,0.0
179,2018,1,8,12,8.3,0.0,0.2
180,2018,1,8,13,8.8,0.0,0.2
181,2018,1,8,14,6.2,0.0,0.0
182,2018,1,8,15,7.8,0.0,0.0
183,2018,1,8,16,8.9,0.0,0.0
184,2018,1,8,17,7.3,0.5,0.0
185,2018,1,8,18,7.5,1.0,0.0
186,2018,1,8,19,5.8,0.5,0.0
187,2018,1,8,20,5.1,1.0,0.0
188,2018,1,8,21,4.3,1.5,0.0
189,2018,1,8,22,4.2,1.5,0.0
190,2018,1,8,23,4.1,1.0,0.0
191,2018,1,8,24,3.9,1.0,0.0
192,2018,1,9,1,4.2,0.5,0.0
193,2018,1,9,2,4.4,0.5,0.0
194,2018,1,9,3,4.6,0.0,0.0
195,2018,1,9,4,4.9,0.5,0.0
196,2018,1,9,5,5.1,0.0,0.0
197,2018,1,9,6,5.1,0.0,0.0
198,2018,1,9,7,5.5,0.0,0.0
199,2018,1,9,8,7.6,0.0,0.0
200,2018,1,9,9,9.4,0.0,0.0
201,2018,1,9,10,12.2,0.0,0.3
202,2018,1,9,11,9.0,0.0,0.1
203,2018,1,9,12,11.9,0.0,0.6
204,2018,1,9,13,15.7,0.0,1.0
205,2018,1,9,14,14.5,0.0,1.0
206,2018,1,9,15,13.8,0.0,1.0
207,2018,1,9,16,12.9,0.0,1.0
208,2018,1,9,17,11.5,0.0,0.6
209,2018,1,9,18,10.1,0.0,0.0
210,2018,1,9,19,9.6,0.0,0.0
211,2018,1,9,20,8.5,0.0,0.0
212,2018,1,9,21,8.7,0.0,0.0
213,2018,1,9,22,6.1,0.0,0.0
214,2018,1,9,23,3.6,0.0,0.0
215,2018,1,9,24,5.1,0.0,0.0
216,2018,1,10,1,6.4,0.0,0.0
217,2018,1,10,2,5.4,0.0,0.0
218,2018,1,10,3,5.3,0.0,0.0
219,2018,1,10,4,5.2,0.0,0.0
220,2018,1,10,5,4.9,0.0,0.0
221,2018,1,10,6,4.2,0.0,0.0
222,2018,1,10,7,3.8,0.0,0.0
223,2018,1,10,8,5.1,0.0,0.4
224,2018,1,10,9,7.1,0.0,1.0
225,2018,1,10,10,8.7,0.0,1.0
226,2018,1,10,11,10.3,0.0,1.0
227,2018,1,10,12,10.7,0.0,1.0
228,2018,1,10,13,10.8,0.0,1.0
229,2018,1,10,14,10.2,0.0,1.0
230,2018,1,10,15,9.7,0.0,1.0
231,2018,1,10,16,9.3,0.0,1.0
232,2018,1,10,17,8.5,0.0,0.6
233,2018,1,10,18,8.3,0.0,0.0
234,2018,1,10,19,8.2,0.0,0.0
235,2018,1,10,20,8.0,0.0,0.0
236,2018,1,10,21,7.7,0.0,0.0
237,2018,1,10,22,6.9,0.0,0.0
238,2018,1,10,23,7.5,0.0,0.0
239,2018,1,10,24,7.4,0.0,0.0
240,2018,1,11,1,5.2,0.0,0.0
241,2018,1,11,2,4.7,0.0,0.0
242,2018,1,11,3,4.4,0.0,0.0
243,2018,1,11,4,3.9,0.0,0.0
244,2018,1,11,5,3.0,0.0,0.0
245,2018,1,11,6,2.9,0.0,0.0
246,2018,1,11,7,1.8,0.0,0.0
247,2018,1,11,8,3.6,0.0,0.5
248,2018,1,11,9,5.5,0.0,1.0
249,2018,1,11,10,7.4,0.0,1.0
250,2018,1,11,11,8.6,0.0,1.0
251,2018,1,11,12,8.6,0.0,1.0
252,2018,1,11,13,10.0,0.0,1.0
253,2018,1,11,14,9.7,0.0,1.0
254,2018,1,11,15,8.6,0.0,1.0
255,2018,1,11,16,8.7,0.0,1.0
256,2018,1,11,17,6.8,0.0,0.6
257,2018,1,11,18,6.0,0.0,0.0
258,2018,1,11,19,4.9,0.0,0.0
259,2018,1,11,20,3.4,0.0,0.0
260,2018,1,11,21,2.8,0.0,0.0
261,2018,1,11,22,2.4,0.0,0.0
262,2018,1,11,23,2.3,0.0,0.0
263,2018,1,11,24,0.8,0.0,0.0
264,2018,1,12,1,-0.3,0.0,0.0
265,2018,1,12,2,1.2,0.0,0.0
266,2018,1,12,3,0.6,0.0,0.0
267,2018,1,12,4,-0.2,0.0,0.0
268,2018,1,12,5,0.4,0.0,0.0
269,2018,1,12,6,0.0,0.0,0.0
270,2018,1,12,7,-0.7,0.0,0.0
271,2018,1,12,8,0.3,0.0,0.4
272,2018,1,12,9,2.7,0.0,1.0
273,2018,1,12,10,3.9,0.0,1.0
274,2018,1,12,11,5.0,0.0,1.0
275,2018,1,12,12,5.5,0.0,1.0
276,2018,1,12,13,6.2,0.0,1.0
277,2018,1,12,14,6.6,0.0,1.0
278,2018,1,12,15,5.8,0.0,1.0
279,2018,1,12,16,5.2,0.0,1.0
280,2018,1,12,17,3.6,0.0,0.3
281,2018,1,12,18,2.5,0.0,0.0
282,2018,1,12,19,2.4,0.0,0.0
283,2018,1,12,20,3.9,0.0,0.0
284,2018,1,12,21,3.5,0.0,0.0
285,2018,1,12,22,2.4,0.0,0.0
286,2018,1,12,23,1.8,0.0,0.0
287,2018,1,12,24,1.3,0.0,0.0
288,2018,1,13,1,0.5,0.0,0.0
289,2018,1,13,2,0.3,0.0,0.0
290,2018,1,13,3,0.5,0.0,0.0
291,2018,1,13,4,0.0,0.0,0.0
